Settlement,Treatment,Tanks,Trial Number,Time,Species,Label,Label.B,Treatment.Simp
23.5,Sound C,B,3,1181,Alaria,A_B_Sound,A_Sound,Sound
19.5,Sound C,B,3,1181,Alaria,A_B_Sound,A_Sound,Sound
8,Sound C,B,3,1181,Alaria,A_B_Sound,A_Sound,Sound
12,Sound C,B,3,1181,Alaria,A_B_Sound,A_Sound,Sound
11,Sound C,B,3,1181,Alaria,A_B_Sound,A_Sound,Sound
12,Sound C,B,3,1181,Alaria,A_B_Sound,A_Sound,Sound
26,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
28.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
19,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
20.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
24.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
15,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
17.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
13.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
20,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
10.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
20,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
18,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
14,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
20,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
17.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
10.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
7,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
12.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
9.5,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
9,Sound D,A,4,1181,Alaria,A_B_Sound,A_Sound,Sound
13,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
16.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
12,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
15,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
19,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
23.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
11,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
20.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
11,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
14,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
21.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
13.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
14.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
6,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
13.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
9.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
29.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
19,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
13,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
19.5,Sound D,B,4,1181,Alaria,A_B_Sound,A_Sound,Sound
